Name,Jutsu,Appears In,Sex,Classification,Clan,Tools,Occupation,Team,Affiliation,Nature Type,Images
Haku,Certain-Kill Ice Spears ;Demonic Mirroring Ice Crystals;Ice Release: Ice Rock Dome of Magnificent Nothingness;Silent Killing;Thousand Flying Water Needles of Death,Anime;Manga;Novel;Game,Male,Mercenary Ninja,Yuki,Senbon,,,Kirigakure,Ice Release,https://static.wikia.nocookie.net/naruto/images/9/90/Haku.png/revision/latest/scale-to-width-down/300?cb=20150123171811
Haku's Father,,,Male,,,,Farmer,,Land of Water,,https://static.wikia.nocookie.net/naruto/images/1/13/Haku%27s_Father.png/revision/latest/scale-to-width-down/300?cb=20150116172419
Haku's Mother,,,Female,,Yuki,,Farmer,,Land of Water,Ice Release,https://static.wikia.nocookie.net/naruto/images/a/a0/Haku%27s_Mother.png/revision/latest/scale-to-width-down/300?cb=20150116172652
Hakuhyo,Ice Sword Technique,,Male,,,,,,Kirigakure,Ice Release,
Hakui,,Game,Male,Missing-nin,,,,Leaf's Anbu,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/a/a7/Hakui.png/revision/latest?cb=20101015154048
Hakui (medic),,Anime;Manga,Female,Medical-nin,,,,Logistical Support and Medical Division,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/5/59/Hakui_medic.png/revision/latest/scale-to-width-down/300?cb=20150501103957
Hakuto,Mystical Palm Technique,,Female,Medical-nin,Hoki Family,,Head of the Hoki Family  (Formerly),,Sunagakure,Wind Release,
Han,Boil Release: Unrivalled Strength;Erupting Propulsion Fist;Erupting Strong Foot;Horn Breaking;Tailed Beast Chakra Arms,Anime;Manga;Game,Male,Jinchuriki,,Steam Armour,,,Iwagakure,Boil Release,https://static.wikia.nocookie.net/naruto/images/3/3c/Han.png/revision/latest/scale-to-width-down/300?cb=20220205121445
Hana (student),,Game,Female,,,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/d/de/Hana.png/revision/latest?cb=20190323043351
Hanare,Eye Mind Reading,Anime,Female,,,Tanto,Spy,,Jomae Village,,https://static.wikia.nocookie.net/naruto/images/e/e9/Hanare.png/revision/latest/scale-to-width-down/300?cb=20160916013240
Hanuma,,,Male,,,,,,,,
Hanzaki,,Anime,Male,,Fuma (Land of Sound),Sword,Leader of the Fuma clan,,Land of Sound,,https://static.wikia.nocookie.net/naruto/images/2/25/Hanzaki.png/revision/latest/scale-to-width-down/300?cb=20140708081733
Hanzo,Dance of the Sickle Blade: Falling Descent Blade;Fire Release: Exploding Flame Formation;Summoning Technique (Ibuse);Summoning: Ibuse Poisoning,Anime;Manga;Game,Male,,,Antidote,Village Head,,Amegakure,Fire Release,https://static.wikia.nocookie.net/naruto/images/7/7a/Hanz%C5%8D.png/revision/latest/scale-to-width-down/300?cb=20220211073236
Haori,,Anime,Female,,,,,,Land of Ancestors,,https://static.wikia.nocookie.net/naruto/images/7/77/HaoriProfil.png/revision/latest/scale-to-width-down/300?cb=20181108221302
Harine,,Anime;Manga;Game,Male,,,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/e/e2/Harine.png/revision/latest/scale-to-width-down/300?cb=20141110140858
Haruna,,Anime,Female,Daimyo,,,,,Land of Vegetables,,https://static.wikia.nocookie.net/naruto/images/a/a6/Haruna.png/revision/latest/scale-to-width-down/300?cb=20150626132901
Kizashi Haruno,,Anime;Novel;Game;Movie,Male,,,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/6/62/Kizashi_Haruno2.png/revision/latest/scale-to-width-down/300?cb=20160125192354
Mebuki Haruno,Frying Pan Attack ,Anime;Novel;Movie,Female,,,,,Allied Mothers Force,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/0/0a/Mebuki_Haruno.png/revision/latest/scale-to-width-down/300?cb=20160125192113
Sakura Haruno,Area Scanning Technique ;Chakra Enhanced Strength;Chakra Scalpel;Chakra Transfer Technique;Cherry Blossom Impact;Creation Rebirth;Delicate Illness Extraction Technique;Four-Corner Sealing Barrier ;Healing Resuscitation Regeneration Technique ;Healing Technique;Katsuyu: Immense Network Healing;Mystical Palm Technique;Ninja Art Creation Rebirth — Strength of a Hundred Technique;Polar Particle Unsealing Technique;Puppet: Spring Punishing Strike;Sakura Blizzard Technique;Strength of a Hundred Seal;Summoning Technique (Slug);Yin Seal: Release,Anime;Manga;Novel;Game;Movie,Female,Medical-nin,Uchiha,Antidote,Director of Konoha Children Mental Health Clinic,Team Kakashi,Konohagakure,Earth Release,https://static.wikia.nocookie.net/naruto/images/6/64/Sakura_Part_1.png/revision/latest/scale-to-width-down/300?cb=20170726101444
Harusame,Soap Bubble Ninjutsu;Tailed Beast Removal Technique,Anime,Male,,,Bubble-Utilising Pipe,,,Kirigakure,Water Release,https://static.wikia.nocookie.net/naruto/images/c/cc/Harusame.png/revision/latest/scale-to-width-down/300?cb=20150816131525
Kakashi Hatake,Area Scanning Technique;Chidori;Demonic Illusion: Hell Viewing Technique;Earth Release: Double Suicide Decapitation Technique;Earth Release: Earth Wave Technique ;Earth Release: Earth-Style Wall;Earth Release: Hiding Like a Mole Technique;Earth Release: Multiple Earth-Style Wall ;Earth Release: Rending Drill Fang;Eight Gates;Evil Sealing Method;Eye Mind Reading ;Fire Release: Great Fireball Technique ;Fire Release: Water Mist ;Flying Revolving Sword ;Front Lotus ;Genjutsu: Sharingan;Ground Splitting Technique;Hiding in Mist Technique ;Ice Release: One Horned White Whale;Kamui;Kamui Lightning Cutter;Kamui Shuriken;Lightning Cutter;Lightning Release: Lightning Beast Tracking Fang;Lightning Release: Purple Electricity;Lightning Release: Shadow Clone Technique;Lightning Transmission;Multiple Shadow Clone Technique;One Thousand Years of Death;Peregrine Falcon Drop ;Rasengan;Shadow Clone Technique;Shadow of the Dancing Leaf ;Silent Killing;Strong Fist ;Summoning Technique (Ninken);Summoning: Earth Release: Tracking Fang Technique;Susanoo;Water Clone Technique;Water Release: Great Waterfall Technique;Water Release: Water Beast;Water Release: Water Bullet Technique;Water Release: Water Dragon Bullet Technique;Water Release: Water Formation Wall;Water Release: Water Shark Bullet Technique;White Light Blade,Anime;Manga;Novel;Game;Movie,Male,,Hatake,Bow & Arrow ,Anbu Captain  (Former),Team Minato,Konohagakure,Lightning Release  (Affinity),https://static.wikia.nocookie.net/naruto/images/2/27/Kakashi_Hatake.png/revision/latest/scale-to-width-down/300?cb=20170628120149
Sakumo Hatake,White Light Blade,Anime;Manga;Novel;Game,Male,,Hatake,White Light Chakra Sabre,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/3/3f/Sakumo_Hatake.png/revision/latest/scale-to-width-down/300?cb=20150504191510
Hāto,Fury,Anime,Male,,Tsuchigumo,,,,Tsuchigumo Village,,https://static.wikia.nocookie.net/naruto/images/c/c0/Hato.PNG/revision/latest/scale-to-width-down/300?cb=20220324123018
Hayase,,Anime;Manga;Game,Male,,,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/0/0e/Hayase.png/revision/latest/scale-to-width-down/300?cb=20150118192736
Headman's Granddaughter,,,Female,,,,,,,,https://static.wikia.nocookie.net/naruto/images/3/31/Headmaster%27s_granddaughter.png/revision/latest/scale-to-width-down/300?cb=20161008024742
Hebihime,Demonic Flute: Phantom Sound Chains;Temple of Nirvana Technique,,Female,,,,Ninja,,Otogakure,Fire Release,https://static.wikia.nocookie.net/naruto/images/7/7a/Hebihime.png/revision/latest/scale-to-width-down/300?cb=20181024160506
Hebiichigo,Longsword Ninja Art: Massacre Method Formation,Anime;Novel,Female,,,Nuibari ,,New Seven Ninja Swordsmen,Kirigakure,,https://static.wikia.nocookie.net/naruto/images/e/ed/Hebiichigo.png/revision/latest/scale-to-width-down/300?cb=20220419115434
Heiji,Winding Smoke Technique,Anime;Game,Male,,,Smoke Tag,,Impure World Reincarnation Allied Forces,Amegakure,,https://static.wikia.nocookie.net/naruto/images/2/29/Heiji.png/revision/latest/scale-to-width-down/300?cb=20130606194236
Heki,,Anime;Manga,Male,,,,,,Kirigakure,,https://static.wikia.nocookie.net/naruto/images/a/ab/Heki.png/revision/latest/scale-to-width-down/300?cb=20220210081632
Hibachi,,Anime,Male,,,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/3/33/Hibachi.png/revision/latest/scale-to-width-down/300?cb=20220212065107
Hibari,,Anime;Manga,Female,,,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/1/1f/Hibari.png/revision/latest/scale-to-width-down/300?cb=20150129193136
Hibiki,,Anime,Female,,,Sword,,,,,https://static.wikia.nocookie.net/naruto/images/b/bc/Hibiki.png/revision/latest/scale-to-width-down/300?cb=20220725011118
Hidan,Curse Technique: Death Controlling Possessed Blood,Anime;Manga;Novel;Game;Movie,Male,S-rank,,Retractable Spear,,,Yugakure,,https://static.wikia.nocookie.net/naruto/images/e/e3/Hidan.png/revision/latest/scale-to-width-down/300?cb=20210911225839
Hidari,Clone Trap;Earth Release: Shadow Clone;Shadow Clone Technique,Anime,Male,Missing-nin,,,,,,Earth Release,https://static.wikia.nocookie.net/naruto/images/9/96/Hidari.png/revision/latest/scale-to-width-down/300?cb=20180117103523
Hidero,,Novel;Movie,Male,,,,Actor,,Land of Fire,,https://static.wikia.nocookie.net/naruto/images/a/a6/Hidero.PNG/revision/latest/scale-to-width-down/300?cb=20160116175746
Shimon Hijiri,Psycho Mind Transmission,Anime;Manga;Game,Male,,,Mind Reading Amplification Machine,Chunin Exams Assistant,Analysis Team,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/1/1d/Shimon_hijiri.png/revision/latest/scale-to-width-down/300?cb=20210915205728
Hikaru,,Anime;Manga,Male,,,,Ship Captain,,Kumogakure,,https://static.wikia.nocookie.net/naruto/images/9/9c/Hikaru.png/revision/latest/scale-to-width-down/300?cb=20210804232733
Fukusuke Hikyakuya,,Anime,Male,,Wagarashi Family,,,,Land of Tea,,https://static.wikia.nocookie.net/naruto/images/e/ea/Fukusuke_Hikyakuya.png/revision/latest/scale-to-width-down/300?cb=20150221082910
Himatsu,,Anime;Novel,Male,,,,,,Takigakure,,https://static.wikia.nocookie.net/naruto/images/d/d8/Himatsu.png/revision/latest/scale-to-width-down/300?cb=20140613215810
Himeno,,,,,,,,,,,
Himeyuri,,Anime,Female,,,,Businesswoman,,"Himeyuri Company""Himeyuri Company"" is not in the list (Allied Shinobi Forces, Akatsuki, Root, Kara, Pale Blue Valley, Daidai Village, Aburame Clan, Academy, Advanced Technology Research Institute, Akagahara, ...) of allowed values for the ""Affiliation"" property.",,https://static.wikia.nocookie.net/naruto/images/2/24/Himeyuri.png/revision/latest/scale-to-width-down/300?cb=20200904060325
Himushi,Insect Spying Technique,Anime,Male,Mercenary Ninja,,,Mercenary,Nokizaru Group,,,https://static.wikia.nocookie.net/naruto/images/8/8b/Himushi.png/revision/latest/scale-to-width-down/300?cb=20210923204727
Hina,,Anime;Manga,Female,,,,,,,,https://static.wikia.nocookie.net/naruto/images/8/83/Hina.png/revision/latest/scale-to-width-down/300?cb=20160223185408
Hinoe,,Anime,Male,,,Bo,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/1/13/Hinoe.png/revision/latest/scale-to-width-down/300?cb=20140206135505
Hinoki,,Game,Male,,,,Village Head,,"Valley of Great Evil""Valley of Great Evil"" is not in the list (Allied Shinobi Forces, Akatsuki, Root, Kara, Pale Blue Valley, Daidai Village, Aburame Clan, Academy, Advanced Technology Research Institute, Akagahara, ...) of allowed values for the ""Affiliation"" property.",,https://static.wikia.nocookie.net/naruto/images/b/be/Hinoki.png/revision/latest?cb=20161116231059
Hinoko,Chakra Needle,Anime;Novel;Game,Female,,,Tanto ,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/e/e2/Hinoko.png/revision/latest/scale-to-width-down/300?cb=20220307231458
Hinoto,,Anime;Game,Female,,,Bo,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/8/80/Hinoto2.png/revision/latest/scale-to-width-down/300?cb=20140522061016
Hippo Boss,,Anime,Male,,,,Leader of the Hippopotamuses,,Kumogakure,,https://static.wikia.nocookie.net/naruto/images/f/f3/Hippo.png/revision/latest/scale-to-width-down/300?cb=20120315133942
Yomito Hirasaka,Chakra Levitation Technique;Chakra Slicers;Summoning Technique (Nuiba);Yomito's Transformation Technique,Game,Male,,Hirasaka,,,,Yumegakure,,https://static.wikia.nocookie.net/naruto/images/e/e3/Yomito_Hirasaka.png/revision/latest?cb=20120228202024
Hiruga,Haze Ninja Art: Forbidden Technique: Hellish Obliteration;Water Clone Technique,Anime,Male,,,Tanto,,Haze Quadruplets,Land of Haze,Water Release,https://static.wikia.nocookie.net/naruto/images/d/d5/Hiruga.png/revision/latest/scale-to-width-down/300?cb=20200831123752
Hiruko (missing-nin),,Novel;Movie,Male,Missing-nin,,,,Hiruko's Team,Konohagakure,Wind Release,https://static.wikia.nocookie.net/naruto/images/0/0d/Hiruko_new.png/revision/latest/scale-to-width-down/300?cb=20111208054114
Hiruko (shinobi),,Anime,Male,,,,,,,,https://static.wikia.nocookie.net/naruto/images/0/02/Hiruko_Infobox.png/revision/latest/scale-to-width-down/300?cb=20150919072303
Hisame,Water Release: Rapid Thunder Whip Technique ;Water Release: Water Weapons ;Water Release: Water Whip,Anime;Novel,Female,Missing-nin,,Senbon ,,Team Suien,Amegakure,Lightning Release,https://static.wikia.nocookie.net/naruto/images/b/b3/Hisame.png/revision/latest/scale-to-width-down/300?cb=20221122194418
Hisen,Summoning Technique (Ryurimaru) ;Water Release: Lotus Light Rupture ,Anime;Novel,Male,,,Hero Water,Village Head,,Takigakure,Water Release  ,https://static.wikia.nocookie.net/naruto/images/4/43/Hisen.png/revision/latest/scale-to-width-down/300?cb=20220408073347
Hishaku,,Anime,Male,,,,Sailor,,,,https://static.wikia.nocookie.net/naruto/images/a/aa/Hishaku.png/revision/latest/scale-to-width-down/300?cb=20220124194400
Hitode,,Anime,Male,,,Sword,Boat Guard,,Land of the Sea,,https://static.wikia.nocookie.net/naruto/images/d/d2/Hitode.png/revision/latest/scale-to-width-down/300?cb=20150528185504
Hohozuki,,,Male,,,,,,,,
Hoichi,Dharma Power Barrier: Auspicious Sign;Dharma Power Seal;Dharma Power Sealing Technique: Sen no Rikyu;Dharma Power: Silhouette,Anime,Male,Pseudo-Jinchuriki,,Sand,Priest,,Sunagakure,,https://static.wikia.nocookie.net/naruto/images/c/c8/Hoichi.png/revision/latest/scale-to-width-down/300?cb=20150507114351
Hoki (Watari),Fire Release: Great Fireball Technique;Fire Release: Phoenix Sage Fire Technique;Haze Clone Technique;Shadow Clone Technique;Water Clone Technique;Water Release: Great Waterfall Technique;Water Release: Water Bullet Technique;Water Release: Water Dragon Bullet Technique,Anime,Male,Missing-nin,,Sword,Chief Advisor to the Daimyo  (Former),Watari Ninja,Land of Birds,Fire Release,https://static.wikia.nocookie.net/naruto/images/4/40/H%C5%8Dki_newshot.png/revision/latest/scale-to-width-down/300?cb=20130813181642
Hoki (Takumi),Ninja Tools Barrier: Reverse Fish Scales Formation;Peacock Whirlwind,Anime,Male,,,Fire Sword,,Four Celestial Symbols Men,Takumi Village,Wind Release,https://static.wikia.nocookie.net/naruto/images/9/9c/Houki.png/revision/latest/scale-to-width-down/300?cb=20150216124259
Hoki (Takigakure),,Anime;Manga;Game,Male,,,,,,Takigakure,,https://static.wikia.nocookie.net/naruto/images/7/7c/H%C5%8Dki.png/revision/latest/scale-to-width-down/300?cb=20150116193634
Hokushin,Hiding with Camouflage Technique,Anime,Male,Missing-nin,,Sword,,Watari Ninja,Land of Birds,,https://static.wikia.nocookie.net/naruto/images/f/fa/Hokushin.png/revision/latest/scale-to-width-down/300?cb=20150627075257
Hokuto,Mysterious Peacock Method;Sensing Technique,Anime,Female,Sensor Type,,,,,Hoshigakure,,https://static.wikia.nocookie.net/naruto/images/9/94/Hokuto_newshot.png/revision/latest/scale-to-width-down/300?cb=20120528151739
Honoka,Beast Sealing Technique,Anime,Female,,,,,,,,https://static.wikia.nocookie.net/naruto/images/7/73/Honoka_face.png/revision/latest/scale-to-width-down/300?cb=20211026065056
Hosei,,Anime;Manga;Game,Male,,,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/0/0a/H%C5%8Dsei.JPG/revision/latest?cb=20150807085240
Kisame Hoshigaki,Earth Release: Subterranean Voyage;Silent Killing;Summoning Technique (Shark);Water Clone Technique;Water Prison Shark Dance Technique;Water Prison Technique;Water Release: A Thousand Feeding Sharks;Water Release: Exploding Water Colliding Wave;Water Release: Five Feeding Sharks;Water Release: Four Sharks Rain ;Water Release: Great Exploding Water Colliding Wave;Water Release: Great Shark Bullet Technique;Water Release: Water Bullet Technique;Water Release: Water Shark Bullet Technique,Anime;Manga;Novel;Game;Movie,Male,S-rank,Hoshigaki   ,Samehada,,Cypher Division,Kirigakure,Water Release,https://static.wikia.nocookie.net/naruto/images/2/25/Kisame.png/revision/latest/scale-to-width-down/300?cb=20220205140601
Shizuma Hoshigaki,Bloody Mist Absorption Technique;Crimson Mist Barrier Technique;Water Clone Technique ;Water Prison Technique ;Water Release: Water Forge Technique;Water Release: Water Formation Wall ;Water Release: Water Spikes,Anime;Novel,Male,Missing-nin,Hoshigaki,Samehada ,Academy Teacher  (Former),New Seven Ninja Swordsmen,Kirigakure,Water Release,https://static.wikia.nocookie.net/naruto/images/f/f2/Shizuma.png/revision/latest/scale-to-width-down/300?cb=20220205111753
First Hoshikage,,Anime,Male,,,,Hoshikage,,Hoshigakure,,https://static.wikia.nocookie.net/naruto/images/b/b3/First_Hoshikage.png/revision/latest/scale-to-width-down/300?cb=20150529094440
Third Hoshikage,,Anime,Male,,,,Hoshikage,,Hoshigakure,,https://static.wikia.nocookie.net/naruto/images/5/5f/Third_Hoshikage_new.png/revision/latest/scale-to-width-down/300?cb=20150529111012
Hosho,,Anime;Manga;Game,Male,Medical-nin,,,,Medic Corps,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/3/3c/H%C5%8Dsh%C5%8D.png/revision/latest/scale-to-width-down/300?cb=20150130165257
Hotaru,,Anime;Game,Female,,Tsuchigumo,,,,Tsuchigumo Village,Water Release,https://static.wikia.nocookie.net/naruto/images/1/1a/Hotaru.png/revision/latest/scale-to-width-down/300?cb=20160115201337
Hotarubi,Mysterious Peacock Method,Anime,Male,,,,,,Hoshigakure,,https://static.wikia.nocookie.net/naruto/images/f/f3/Hotarubi.png/revision/latest/scale-to-width-down/300?cb=20150529111230
Gengetsu Hozuki,,Anime;Manga;Game,Male,,Hozuki,,Mizukage,,Kirigakure,Water Release,https://static.wikia.nocookie.net/naruto/images/9/9f/Gengetsu_H%C5%8Dzuki.png/revision/latest/scale-to-width-down/300?cb=20150417014745
Mangetsu Hozuki,Hydrification Technique;Silent Killing;Water Gun Technique,Anime;Manga;Game,Male,,Hozuki,Explosive Tag,,Seven Ninja Swordsmen of the Mist,Kirigakure,Water Release,https://static.wikia.nocookie.net/naruto/images/c/ce/Hozuki_Mangetsu.png/revision/latest/scale-to-width-down/300?cb=20160115164605
Suigetsu Hozuki,Drowning Water Blob Technique;Hydrification Technique;Silent Killing;Water Clone Technique ;Water Gun Technique;Water Gun: Two Guns;Water Release: Great Water Arm Technique;Water Release: Tate Eboshi;Water Release: Water Hail ,Anime;Manga;Novel;Game,Male,,Hozuki,Kubikiribocho,,Taka,Kirigakure,Water Release,https://static.wikia.nocookie.net/naruto/images/3/3e/Suigetsu_H%C5%8Dzuki.png/revision/latest/scale-to-width-down/300?cb=20171012002428
Human Path (character),,Anime;Manga;Game,,,,,,,,,https://static.wikia.nocookie.net/naruto/images/a/a3/Human_Pain.png/revision/latest/scale-to-width-down/300?cb=20160116082753
Hyo,Assassination Technique,Anime;Manga;Game,Male,,,Tanto,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/9/99/Hy%C5%8D.png/revision/latest/scale-to-width-down/300?cb=20150826163345
Hyogo,,Anime,Male,Missing-nin,,,,,Kusagakure,,https://static.wikia.nocookie.net/naruto/images/2/24/Hy%C5%8Dgo.png/revision/latest/scale-to-width-down/300?cb=20211205142803
Hyuga Elder,,Anime;Manga,Male,,Hyuga,,Head of the Hyuga clan  (Former),,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/2/25/Hy%C5%ABga_Elder.png/revision/latest/scale-to-width-down/300?cb=20150109173141
Hanabi Hyuga,,Anime;Manga;Novel;Game;Movie,Female,,Hyuga,,Heiress of the Hyuga Clan,Team 15  ,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/d/da/Hanabi_Hyuga.png/revision/latest/scale-to-width-down/300?cb=20180314102603
Hiashi Hyuga,,Anime;Manga;Novel;Game;Movie,Male,,Hyuga,,Head of the Hyuga Clan,First Division,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/e/ee/Hiashi_Hyuga.png/revision/latest/scale-to-width-down/300?cb=20150109142633
Hinata Hyuga,Chakra Transfer Technique;Eight Trigrams Sixty-Four Palms;Eight Trigrams Thirty-Two Palms ;Eight Trigrams Twin Lions Crumbling Attack;Eight Trigrams Vacuum Palm;Eight Trigrams Vacuum Wall Palm;Four-Corner Sealing Barrier ;Gentle Fist;Gentle Step Spiralling Twin Lion Fists;Gentle Step Twin Lion Fists;Mystical Palm Technique ;Palm Bottom;Protecting Eight Trigrams Sixty-Four Palms ;Water Needle ,Anime;Manga;Novel;Game;Movie,Female,,Hyuga,Hyuga Clan Secret Ointment,Heiress of the Hyuga Clan  (Former),Team 8,Konohagakure,Fire Release,https://static.wikia.nocookie.net/naruto/images/9/97/Hinata.png/revision/latest/scale-to-width-down/300?cb=20141010104729
Hinata and Hanabi's Mother,,,Female,,Hyuga,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/0/0a/Hyuuga_mother.png/revision/latest?cb=20150104203212
Hizashi Hyuga,,Anime;Manga;Game,Male,,Hyuga,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/1/15/Young_Hizashi.png/revision/latest/scale-to-width-down/300?cb=20160428002530
Hoheto Hyuga,,Anime;Manga,Male,,Hyuga,,,Surprise Attack Division,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/c/c4/Hoheto.png/revision/latest/scale-to-width-down/300?cb=20160307034250
Iroha Hyuga,,Anime;Manga,Male,,Hyuga,,,Kumo Barrier Team,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/9/98/Iroha_Hyuga.png/revision/latest/scale-to-width-down/300?cb=20160115172032
Ko Hyuga,,Anime;Manga;Novel;Movie,Male,,Hyuga,,Hinata's Bodyguard,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/5/5a/K%C5%8D.png/revision/latest/scale-to-width-down/300?cb=20160115165008
Natsu Hyuga,,Anime,Female,,Hyuga,,Maid,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/2/24/Natsu_Hyuga.png/revision/latest/scale-to-width-down/300?cb=20141204202830
Neji Hyuga,,Anime;Manga;Novel;Game;Movie,Male,,Hyuga,,,Team Guy,Konohagakure,Fire Release,https://static.wikia.nocookie.net/naruto/images/8/8e/Neji_Part_I_Screenshot.png/revision/latest/scale-to-width-down/300?cb=20160118081119
Tokuma Hyuga,,Anime;Manga,Male,,Hyuga,,,Infiltration and Reconnaissance Party,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/d/d4/Tokuma_Hy%C5%ABga.png/revision/latest/scale-to-width-down/300?cb=20191007150753
Hozuki Castle's Ninken,,,,Summon,,,,,,,https://static.wikia.nocookie.net/naruto/images/4/4a/Two-Headed_Guard_Dog.png/revision/latest/scale-to-width-down/300?cb=20200302164354
Ibara,,Anime;Manga;Game,Female,,,,Housewife,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/2/23/Ibara.png/revision/latest/scale-to-width-down/300?cb=20150221123239
Ibuse,Poison Mist;Summoning: Ibuse Poisoning,Anime;Manga;Game,Male,Summon,,Poison,,,Amegakure,,https://static.wikia.nocookie.net/naruto/images/0/0d/Hanzo_and_The_Salamander.PNG/revision/latest/scale-to-width-down/300?cb=20210924004433
Ibushi,Puppet Technique,Game,Male,,Shirogane,Lizard Puppet,,Shirogane Three,Land of Wind,,https://static.wikia.nocookie.net/naruto/images/6/64/Ibushi.jpg/revision/latest/scale-to-width-down/300?cb=20111212015952
Ichi,Chimera Technique;Snake Steel Net;Spinning Snake Thorn;Summoning: Dual-Headed Snakes,Novel;Movie,Male,,,,,Hiruko's Team,Mount Shumisen,,https://static.wikia.nocookie.net/naruto/images/1/14/Ichi.png/revision/latest/scale-to-width-down/300?cb=20160219221053
Ichigen,,Anime;Manga,Male,Ninja monk,,,,,Land of Fire,,https://static.wikia.nocookie.net/naruto/images/5/51/Ichigen.jpg/revision/latest?cb=20150807090035
Ichikishimahime,,Anime,Female,,,,,,Ryuchi Cave,Yin Release,https://static.wikia.nocookie.net/naruto/images/6/65/Ichikishimahime.png/revision/latest/scale-to-width-down/300?cb=20180923192839
Iggy,,Anime,Male,,,Sword,Farmer,,Land of Water,,https://static.wikia.nocookie.net/naruto/images/0/0e/Iggy.png/revision/latest/scale-to-width-down/300?cb=20111020125548
Ikanago,,,Female,,,,Senior,Suna Council,Sunagakure,,
Kamakiri Ikeno,,Anime,Male,,,Kama,,,Kirigakure,,https://static.wikia.nocookie.net/naruto/images/a/a7/Kamakiri.png/revision/latest/scale-to-width-down/300?cb=20171223205622
Kande Inabikari,,Anime,Male,,,,,,Konohagakure,Lightning Release,https://static.wikia.nocookie.net/naruto/images/b/b4/Kande_Inabikari.png/revision/latest/scale-to-width-down/300?cb=20220905105423
Inaho,,Anime;Manga;Game,Female,,,Explosive Tag ,,Team Komugi,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/7/70/Inaho3.png/revision/latest/scale-to-width-down/300?cb=20150521141807
Inari,,Anime;Manga;Novel;Game,Male,,,Crossbow,Apprentice Carpenter,,Land of Waves,,https://static.wikia.nocookie.net/naruto/images/0/0e/Inari.png/revision/latest/scale-to-width-down/300?cb=20150122183558
Shinko Inari,,Anime;Novel;Game,Female,,,,Waitress,Team 2,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/4/4b/Shinko.png/revision/latest/scale-to-width-down/300?cb=20160311044305
Inomatsu,,Manga,Male,,,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/c/c5/Inomatsu.jpg/revision/latest?cb=20150807085857
Inori,,Anime,Female,,,,Cultist,,,,https://static.wikia.nocookie.net/naruto/images/1/1d/Inori_Infobox.png/revision/latest/scale-to-width-down/300?cb=20210808134110
Inori's Brother,,,Male,,,,,,,Water Release,https://static.wikia.nocookie.net/naruto/images/d/de/Inori%27s_Brother.png/revision/latest/scale-to-width-down/300?cb=20220311133417
Akita Inuzuka,Fang Passing Fang;Four Legs Technique;Passing Fang,Anime;Manga,Female,,Inuzuka,Shinobi Gauntlet ,Scientist,Scientific Ninja Weapons Team,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/f/fc/Akita.png/revision/latest/scale-to-width-down/300?cb=20210126075434
Gaku Inuzuka,,Anime;Manga,Male,,Inuzuka,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/6/6a/Gaku_Inuzuka.png/revision/latest/scale-to-width-down/300?cb=20220219092042
Hana Inuzuka,Fang Rotating Fang;Four Legs Technique ,Anime;Manga;Movie,Female,Medical-nin,Inuzuka,,Veterinarian,Fifth Division,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/9/97/Hana_Inuzuka.png/revision/latest/scale-to-width-down/300?cb=20150818182327
